Unit_CustID;Unit_Cat;Unit_Vendor;Unit_Model;Unit_Serial;Unit_type;Unit_installdate;Unit_Warend;Unit_Chargemode;Unit_Repldate;Unit_Notes;Unit_History;Unit_ID
MC012;POS;PAN;JS-930-WS 2GB;04K00089M;RE;2004-11-23;2005-11-22;1;1900-01-01;;1;224938;
MC012;POS;PAN;JS-930-WS 2GB;04N00182M;RE;2004-11-23;2005-11-22;1;1900-01-01;Utbytt, tidigare Snr: 04K00097M;1;224939;
MC012;POS;PAN;JS-930-WS 2GB;04K00082M;RE;2004-11-23;2005-11-22;1;1900-01-01;;1;224940;
MC012;POS;EPS;TM-T88;DJHG094530;RP;2004-11-23;2005-11-22;1;1900-01-01;;0;224941;
MC012;POS;EPS;TM-T88;DJHG094532;RP;2004-11-23;2005-11-22;1;1900-01-01;;0;224942;
MC012;POS;EPS;TM-T88;DJHG094008;RP;2004-11-23;2005-11-22;1;1900-01-01;;0;224943;
MC012;POS;SAM;17";GS17HSGXB20241;VD;2004-12-06;2007-12-05;6;1900-01-01;;0;229676;
MC012;POS;SAM;17";MJ17HSCY209416;VD;2005-04-27;2008-04-26;6;1900-01-01;;0;229677;
MC012;POS;EPS;TM-T88;J49AG038988;RP;2009-04-23;2012-04-22;6;1900-01-01;;0;231135;
MC012;POS;SAM;19";MY19HMDQ208623;VD;2009-04-23;2012-04-22;6;1900-01-01;;0;231136;
MC012;POS;SAM;19";MY19HMDQ208825;VD;2009-04-23;2012-04-22;6;1900-01-01;;0;231137;
MC012;POS;SOT;BUMPBAR SOTEC;4993;BB;2009-04-23;2010-04-22;2;1900-01-01;;0;231138;
MC012;POS;VXL;VXL;412175207047;VX;2009-04-23;1900-01-01;1;2012-02-22;Borttagen vid IT-pack 1;1;231139;
MC012;POS;VXL;VXL;412100808025;VX;2009-04-23;2012-04-22;6;2012-05-28;;0;231140;
MC012;DAT;DEL;DATOR DELL;5J4T64J;DA;2009-04-30;2012-04-29;6;1900-01-01;;0;231143;
MC012;POS;PAN;JS-960-SSDW7;14M00410C;RE;2015-04-23;2018-04-22;6;1900-01-01;;0;244617;
MC012;POS;PAN;JS-930-WS 2GB;04H00040M;RE;2004-11-23;2005-11-22;1;1900-01-01;;1;232150;
MC012;DAT;SAT;PRINTER SATO;9B201707;PR;2010-08-07;2013-08-06;6;1900-01-01;;0;232702;
MC012;POS;PAN;JS-960-SSDW7;14M00470C;RE;2015-04-23;2018-04-22;6;1900-01-01;;0;244618;
MC012;POS;XE;PINPAD XENTA;ARJ3037;PP;2011-09-14;1900-01-01;0;1900-01-01;;0;234985;
MC012;POS;XE;PINPAD XENTA;ARJ2620;PP;2011-09-14;1900-01-01;0;1900-01-01;;0;234986;
MC012;POS;XE;PINPAD XENTA;ARJ2747;PP;2011-09-14;1900-01-01;0;1900-01-01;;0;234987;
MC012;POS;XE;PINPAD XENTA;ARJ2876;PP;2011-09-14;1900-01-01;0;1900-01-01;;0;234988;
MC012;POS;XE;PINPAD XENTA;ARJ2814;PP;2011-09-14;1900-01-01;0;1900-01-01;;0;234989;
MC012;POS;XE;PINPAD XENTA;ARJ2813;PP;2011-09-14;1900-01-01;0;1900-01-01;;0;234990;
MC012;POS;XE;PINPAD XENTA;ARJ2884;PP;2011-09-14;1900-01-01;0;1900-01-01;;0;234991;
MC012;DAT;CIS;CISCO 48TT;FCQ1520Y69M;NV;2011-09-14;2014-09-13;6;1900-01-01;Borttagen vid IT-pack 1;1;234992;
MC012;POS;;TERMINALSERVER;11120743;TB;2013-03-12;2014-03-11;2;1900-01-01;;0;239361;
MC012;POS;SOT;BUMPBAR SOTEC;11747;BB;2014-07-09;2015-07-08;2;1900-01-01;;0;242093;
MC012;DAT;SAT;PRINTER SATO;CD204341;PR;2018-08-28;2021-08-27;6;1900-01-01;;0;248888;
MC012;POS;PAN;JS-960-SSDW7;14M00442C;RE;2015-04-23;2018-04-22;6;1900-01-01;;0;244619;
MC012;POS;PAN;JS-960-SSDW7;14M00710C;RE;2015-04-23;2018-04-22;6;1900-01-01;;0;244620;
MC012;POS;PAN;JS-960-SSDW7;14M00583C;RE;2015-04-23;2018-04-22;6;1900-01-01;;0;244621;
MC012;POS;PAN;JS-960-SSDW7;14M00342C;RE;2015-04-23;2018-04-22;6;1900-01-01;;0;244622;
MC012;POS;PAN;JS-960-SSDW7;14M00428C;RE;2015-04-23;2018-04-22;6;1900-01-01;;0;244623;
MC013;POS;EPS;TM-T88;DJHG313605;RP;2006-04-19;2007-04-18;1;1900-01-01;;0;225744;
MC013;POS;PAN;JS-950;11M32097C;RE;2012-04-19;2015-04-18;6;1900-01-01;;0;246951;
MC013;POS;EPS;TM-T88;DJHG313604;RP;2006-04-19;2007-04-18;1;1900-01-01;;0;225745;
MC013;POS;EPS;TM-T88;DJHG313603;RP;2006-04-19;2007-04-18;1;1900-01-01;;0;225746;
MC013;POS;EPS;TM-T88;DJHG313602;RP;2006-04-19;2007-04-18;1;1900-01-01;;0;225747;
MC013;POS;PAN;JS-930-WS 2GB;06A00538M;RE;2006-04-19;2009-04-18;6;1900-01-01;;0;225748;
MC013;POS;PAN;JS-930-WS 2GB;06A00556M;RE;2006-04-19;2009-04-18;6;1900-01-01;;0;225749;
MC013;POS;PAN;JS-930-WS 2GB;06A00557M;RE;2006-04-19;2009-04-18;6;1900-01-01;;0;225750;
MC013;POS;PAN;JS-930-WS 2GB;06A00571M;RE;2006-04-19;2009-04-18;6;1900-01-01;;0;225751;
MC013;POS;PAN;JS-930-WS 2GB;06A00568M;RE;2006-04-19;2009-04-18;6;1900-01-01;;0;225752;
MC013;POS;PAN;JS-930-WS 2GB;06A00536M;RE;2006-04-19;2009-04-18;6;1900-01-01;;0;225753;
MC013;POS;PAN;JS-930-WS 2GB;06A00570M;RE;2006-04-19;2009-04-18;6;1900-01-01;;0;225754;
MC013;POS;PAN;JS-930-WS 2GB;06A00542M;RE;2006-04-19;2009-04-18;6;1900-01-01;;0;225755;
MC013;POS;EPS;TM-T88;DJHG147863;RP;2005-11-07;2006-11-06;1;1900-01-01;;0;225362;
MC013;POS;VXL;VXL;412171902160;VX;2008-10-08;2019-09-20;6;2011-05-19;;0;228354;
MC013;POS;VXL;VXL;412182801073;VX;2008-10-08;2011-10-07;1;1900-01-01;;1;228355;
MC013;POS;SAM;19";MYHMCQ203654;VD;2008-10-08;2011-10-07;6;1900-01-01;;0;228356;
MC013;POS;SAM;19";MYHMCQ203691;VD;2008-10-08;2011-10-07;6;1900-01-01;;0;228357;
MC013;POS;EPS;TMT88IV;J4LG311956 BOP;RP;2008-10-08;2011-10-07;6;1900-01-01;;0;228358;
MC013;POS;SOT;BUMPBAR SOTEC;4480;BB;2008-10-08;2009-10-07;2;1900-01-01;;0;228359;
MC013;POS;SOT;BUMPBAR SOTEC;4444;BB;2008-10-08;2009-10-07;2;1900-01-01;;0;228360;
MC013;DAT;3CO;24 PORTS SWITCH;LNZQ6E0111103;TB;2006-04-24;1900-01-01;7;1900-01-01;;0;229694;
MC013;DAT;3CO;24 PORTS SWITCH;LNZQ6E0111102;TB;2006-04-24;1900-01-01;7;1900-01-01;;0;229695;
MC013;POS;AA;KB-18-LM;K125100041;TA;2006-04-24;1900-01-01;7;1900-01-01;;0;229699;
MC013;POS;QSR;BUMPBAR QSR;14-2146830;BB;2006-04-19;2007-04-18;2;1900-01-01;;0;229700;
MC013;POS;SAM;17";MJ17HMCA118464;VD;2006-04-19;2009-04-18;6;1900-01-01;;0;229701;
MC013;POS;DEL;KVM-EXT;Z85A0073KK-0168;TB;2006-04-19;2007-04-18;2;1900-01-01;;0;229702;
MC013;DAT;DEL;DATOR DELL;FBM912J;DA;2006-04-19;2009-04-18;6;1900-01-01;;0;229703;
MC013;DAT;SAT;PRINTER SATO;9A200467;PR;2010-02-13;2013-02-12;6;1900-01-01;;0;232696;
MC013;POS;VXL;VXL;412171902160;VX;2006-04-20;2007-04-19;1;2011-05-19;;1;234081;
MC013;DAT;CIS;CISCO 48TT;FCQ1526Z0KQ;NV;2011-12-06;2014-12-06;6;1900-01-01;;0;235584;
MC013;POS;XE;PINPAD XENTA;ARJ2912;PP;2011-12-06;1900-01-01;0;1900-01-01;;0;235585;
MC013;POS;XE;PINPAD XENTA;ARJ3730;PP;2011-12-06;1900-01-01;0;1900-01-01;;0;235586;
MC013;POS;XE;PINPAD XENTA;ARJ3765;PP;2011-12-06;1900-01-01;0;1900-01-01;;0;235587;
MC013;POS;XE;PINPAD XENTA;ARJ2944;PP;2011-12-06;1900-01-01;0;1900-01-01;;0;235588;
MC013;POS;XE;PINPAD XENTA;ARJ2979;PP;2011-12-06;1900-01-01;0;1900-01-01;;0;235589;
MC013;POS;XE;PINPAD XENTA;ARJ3068;PP;2011-12-06;1900-01-01;0;1900-01-01;;0;235590;
MC013;POS;XE;PINPAD XENTA;ARJ2837;PP;2011-12-06;1900-01-01;0;1900-01-01;;0;235591;
MC013;POS;XE;PINPAD XENTA;ARJ3625;PP;2011-12-06;1900-01-01;0;1900-01-01;;0;235592;
MC013;POS;DEL;KVM-EXT;F3B5E011AH90067;TB;2012-01-31;2013-01-30;2;1900-01-01;;0;235758;
MC013;POS;VXL;VXL 4121;412182801066;VX;2013-12-03;2013-12-02;1;2013-11-28;;1;241045;
MC013;DAT;DEL;DATOR DELL T320;CX9KFY1;DA;2013-08-20;2016-08-19;6;1900-01-01;;0;240030;
MC013;DAT;CIS;CISCO 2960 48TT;FCQ1710X1L3;NV;2013-08-20;1900-01-01;9;1900-01-01;;0;240031;
MC013;DAT;CIS;CISCO 2960 48TT;FOC1504Y20J;NV;2013-08-20;1900-01-01;9;1900-01-01;;0;240032;
MC013;POS;DEL;APC BACK-UPS;3B1310X15636;TB;2013-08-20;2016-08-19;6;1900-01-01;;0;240033;
MC013;DAT;DEL;DELL SKRIVARE;952PQV1;TB;2013-08-20;2015-08-19;5;1900-01-01;;0;240034;
MC013;DAT;CIS;CISCO 1921 ROUTER;FCZ1712919R;NV;2013-08-20;2014-08-19;2;1900-01-01;;0;240035;
MC013;POS;VXL;VXL 7221;722132807036;VX;2013-08-20;2019-09-20;6;2015-11-16;;0;240036;
MC013;POS;VXL;VXL 4121;412170604679;VX;2013-08-20;1900-01-01;1;2014-11-13;;1;240037;
MC013;DAT;DEL;VERBATIM HÖGTALARE;4538;SP;2013-08-20;2015-08-19;5;1900-01-01;;0;240038;
MC013;POS;;WHYSE THIN CLIENT;2ELDM403157;TB;2013-08-20;2016-08-19;6;1900-01-01;;0;240039;
MC013;POS;;TERMINALSERVER;4132693;TB;2013-08-20;2014-08-19;2;1900-01-01;;0;240040;
MC013;POS;SAM;21,5";0285H4MD601437;VD;2013-08-20;2016-08-19;6;1900-01-01;;0;240041;
MC013;POS;SAM;21,5";0285H4MD601428;VD;2013-08-20;2016-08-19;6;1900-01-01;;0;240042;
MC013;POS;SAM;21,5";0285H4MD601444;VD;2013-08-20;2016-08-19;6;1900-01-01;;0;240043;
MC013;POS;SOT;BUMPBAR SOTEC;013674;BB;2015-07-17;2016-07-16;2;1900-01-01;;0;244896;
MC013;POS;SOT;BUMPBAR SOTEC;018710;BB;2016-09-17;2017-09-16;2;1900-01-01;;0;246551;
MC013;POS;JLT;TM-T88 RESTICK;M6VF000361;RP;2014-10-14;2016-10-13;5;1900-01-01;;0;242473;
MC013;POS;DELL;WYSE 7020;B5R56J2;TB;2018-04-10;2023-04-09;9;1900-01-01;;0;248597;
MC013;POS;JLT;TM-T88 RESTICK;M6TF001334;RP;2018-04-25;2020-04-24;5;1900-01-01;;0;248602;
MC013;POS;EPS;TM-T70II;T48F089248;RP;2018-10-31;2020-10-30;5;1900-01-01;;0;249057;
MC013;DAT;SAT;PRINTER SATO;4C206500;PR;2015-01-22;2018-01-21;6;1900-01-01;;0;243660;
MC013;POS;PAN;JS-960-SSDW7;14M00327C;RE;2015-02-09;2018-02-08;6;1900-01-01;;0;243966;
MC013;POS;VXL;VXL 7221;722124903105;VX;2015-02-09;2018-02-08;6;2017-06-14;;0;243967;
MC013;POS;VXL;VXL7  7522;752044022189;VX;2015-02-09;2019-09-20;6;1900-01-01;;0;243968;
MC013;POS;SAM;21,5";0354H4MF100089;VD;2015-02-09;2018-02-08;6;1900-01-01;;0;243969;
MC013;POS;SAM;21,5";0354H4MF902302;VD;2015-02-09;2018-02-08;6;1900-01-01;;0;243970;
MC013;POS;;TERMINALSERVER;03157473;TB;2015-06-24;2016-06-23;2;1900-01-01;;0;244812;
MC013;POS;AA;KB-18-LM;K12E700015;TA;2015-07-30;2016-07-29;2;1900-01-01;;0;244915;
MC013;POS;VXL;VXL7  7522;752061915055;VX;2016-09-21;2019-09-20;6;1900-01-01;;0;246553;
MC014;POS;PAN;JS-930-WS 2GB;04H00077M;RE;2004-12-01;2005-04-11;1;1900-01-01;;1;227349;
MC014;POS;PAN;JS-930-WS 2GB;04L00052M;RE;2004-12-01;2065-02-01;1;1900-01-01;;1;227350;
MC014;POS;SAM;21,5";ZWVWHMBCC00175;VD;2013-03-20;2016-03-19;6;1900-01-01;;0;237793;
MC014;POS;SAM;21,5";ZWVWHMBCC00314;VD;2013-03-20;2016-03-19;6;1900-01-01;;0;237794;
MC014;DAT;DEL;DATOR DELL T310;9S75J5J;DA;2013-03-20;2016-03-19;6;1900-01-01;;0;237882;
MC014;DAT;CIS;CISCO 2960 48TT;FCQ1702X4L1;NV;2013-03-20;2016-03-19;0;1900-01-01;;0;237883;
MC014;DAT;CIS;CISCO 2960 48TT;FOC1451X5MN;NV;2013-03-20;2016-03-19;0;1900-01-01;;0;237884;
MC014;POS;VXL;VXL;722130405098;VX;2013-03-20;2016-03-19;6;1900-01-01;;0;237885;
MC014;POS;VXL;VXL;722130405072;VX;2013-03-20;2016-03-19;6;1900-01-01;;0;237886;
MC014;DAT;CIS;NYLAGER;FCZ1825C2PC;NV;2013-03-20;2016-03-19;0;2014-11-04;;0;237887;
MC014;DAT;;WHYSE THIN CLIENT;2ELDM103978;TB;2013-03-20;2016-03-19;0;1900-01-01;;0;237888;
MC014;POS;VXL;VXL;722103001175;VX;2007-02-08;2010-02-07;6;2012-11-22;;0;226954;
MC014;POS;VXL;VXL;412170604656;VX;2007-02-08;2008-02-07;1;2012-04-11;;1;226955;
MC014;POS;VXL;VXL 4121;412190910114;VX;2007-09-18;2010-09-17;6;2014-08-08;;0;226956;
MC014;POS;PAN;JS-930-WS 2GB;04N00141M;RE;2004-12-01;2005-11-30;1;1900-01-01;Utbytt, tidigare Snr: 04K00100M;1;226344;
MC014;POS;EPS;TM-T88-II;TM88;RP;1900-01-01;1900-01-01;1;1900-01-01;;0;226345;
MC014;POS;EPS;TM-T88;J49G005118;RP;2007-01-25;2008-01-24;1;1900-01-01;;0;226067;
MC014;POS;;TFT 17;GS17HMEX916388;VD;2004-12-01;2006-11-30;1;1900-01-01;;1;224957;
MC014;POS;EPS;TM-T88;DJHG137175;RP;2004-12-01;2005-11-30;1;1900-01-01;;0;224958;
MC014;POS;EPS;TM-T88;DJHG137174;RP;2004-12-01;2005-11-30;1;1900-01-01;;0;224959;
MC014;POS;EPS;TM-T88;DJHG137176;RP;2004-12-01;2005-11-30;1;1900-01-01;;0;224960;
MC014;POS;EPS;TM-T88;DJHG019285;RP;2002-09-23;1900-01-01;1;1900-01-01;;0;224476;
MC014;POS;;TFT15" SA;GH15HJAT4375;VD;2002-09-23;2004-09-22;1;1900-01-01;;1;224477;
MC014;POS;PAN;JS-930-WS;04K00096M;RE;2004-12-01;1900-01-01;1;1900-01-01;;1;223262;
MC014;POS;PAN;JS-930-WS 2GB;04N00144M;RE;2004-12-01;1900-01-01;1;1900-01-01;;1;223263;
MC014;POS;PAN;JS-930-WS 2GB;04M00139M;RE;2004-12-01;1900-01-01;1;1900-01-01;Utbytt, tidigare Snr: 04K00083M;1;223264;
MC014;POS;PAN;JS-930-WS 2GB;04N00166M;RE;2004-12-01;2005-11-30;1;1900-01-01;Utbytt, tidigare Snr: 04H00046M;1;223265;
MC014;POS;PAN;JS-930-WS 2GB;07J00407M;RE;2004-12-01;2005-11-30;1;1900-01-01;Utbytt, tidigare Snr: 04K00099M;1;223266;
MC014;POS;PAN;JS-930-WS;04K00084M;RE;2004-12-01;2005-11-30;1;1900-01-01;Utbytt, tidigare Snr: 04K00085M;1;223267;
MC014;POS;PAN;JS-930-WS;04E00013M;RE;2004-12-01;2005-11-30;1;1900-01-01;;1;223268;
MC014;POS;PAN;JS-930-WS 2GB;04N00161M;RE;2004-12-01;2005-11-30;1;1900-01-01;Utbytt, tidigare Snr: 04H00040M;1;223269;
MC014;POS;PAN;JS-930-WS 2GB;04N00154M;RE;2004-12-01;2005-11-30;1;1900-01-01;Utbytt, tidigare Snr: 04H00035M;1;223270;
MC014;POS;JLT;TM-T88 RESTICK;M6VF000393;RP;2015-04-22;2017-04-21;5;1900-01-01;;0;244612;
MC014;POS;SOT;BUMPBAR SOTEC;1883;BB;2007-02-08;2008-02-07;2;1900-01-01;;0;229715;
MC014;POS;SOT;BUMPBAR SOTEC;1903;BB;2007-02-08;2008-02-07;2;1900-01-01;;0;229716;
MC014;POS;SAM;19";MJ19HSHLA04907A;VD;2007-02-08;2010-02-07;6;1900-01-01;;0;229717;
MC014;POS;SAM;19";MJ19HSHLA04900P;VD;2007-02-08;2010-02-07;6;1900-01-01;;0;229718;
MC014;POS;SOT;BUMPBAR SOTEC;3075;BB;2007-09-18;2008-09-17;2;1900-01-01;;0;229719;
MC014;POS;SAM;19";HA19HMEP070694;VD;2007-09-18;2010-09-17;6;1900-01-01;;0;229720;
MC014;POS;EPS;TM-T88;J4KF009449;RP;2010-01-08;2013-01-07;6;1900-01-01;;0;231817;
MC014;POS;EPS;TM-T88;J4KF009470;RP;2010-01-08;2013-01-07;6;1900-01-01;;0;231818;
MC014;POS;EPS;TM-T88;J4KF009474;RP;2010-01-08;2013-01-07;6;1900-01-01;Enheten SKROTAS - 151103. IR 61696;1;231819;
MC014;POS;EPS;TM-T88;J4KF009632;RP;2010-01-08;2013-01-07;6;1900-01-01;;0;231820;
MC014;POS;EPS;TM-T88;J4KF009626;RP;2010-01-08;2013-01-07;6;1900-01-01;;0;231821;
MC014;POS;EPS;TM-T88;J4KF009455;RP;2010-01-08;2013-01-07;6;1900-01-01;;0;231822;
MC014;DAT;SAT;PRINTER SATO;9A200548;PR;2010-06-28;2013-06-27;6;1900-01-01;;0;232469;
MC014;DAT;DEL;DATOR DELL;7Z2RW4J;DA;2010-12-07;2011-12-06;6;1900-01-01;;0;232974;
MC014;POS;SAM;19";NE9LHMDZA01513;VD;2010-12-07;2013-12-06;6;1900-01-01;;0;232975;
MC014;POS;PAN;JS-930-WS 2GB;04K00100M;RE;2004-12-01;1900-01-01;1;1900-01-01;;1;233101;
MC014;POS;SOT;BUMPBAR SOTEC;7128;BB;2011-05-12;2012-05-11;2;1900-01-01;;0;233757;
MC014;DAT;FRE;FREEHOTSPOT;A7IEG6010835;NV;2011-04-26;1900-01-01;0;2011-04-29;;0;234102;
MC014;DAT;CIS;CISCO 48TT;FOC1504X19L;NV;2011-06-15;2014-06-14;6;1900-01-01;;1;234413;
MC014;POS;XE;PINPAD XENTA;APY9813;PP;2011-06-15;1900-01-01;0;1900-01-01;;0;234414;
MC014;POS;XE;PINPAD XENTA;APY9746;PP;2011-06-15;1900-01-01;0;1900-01-01;;0;234415;
MC014;POS;XE;PINPAD XENTA;APY9760;PP;2011-06-15;1900-01-01;0;1900-01-01;;0;234416;
MC014;POS;XE;PINPAD XENTA;APY9644;PP;2011-06-15;1900-01-01;0;1900-01-01;;0;234417;
MC014;POS;XE;PINPAD XENTA;APY9754;PP;2011-06-15;1900-01-01;0;1900-01-01;;0;234418;
MC014;POS;XE;PINPAD XENTA;APY9732;PP;2011-06-15;1900-01-01;0;1900-01-01;;0;234419;
MC014;POS;XE;PINPAD XENTA;APY9799;PP;2011-06-15;1900-01-01;0;1900-01-01;;0;234420;
MC014;POS;XE;PINPAD XENTA;APY9826;PP;2011-06-15;1900-01-01;0;1900-01-01;;0;234421;
MC014;POS;XE;PINPAD XENTA;APY9686;PP;2011-06-15;1900-01-01;0;1900-01-01;;0;234422;
MC014;POS;XE;PINPAD XENTA;APY9808;PP;2011-06-15;1900-01-01;0;1900-01-01;;0;234423;
MC014;POS;SAM;19";ZTH4HVMB800202;VD;2011-11-18;2014-11-17;6;1900-01-01;;0;235465;
MC014;POS;SOT;BUMPBAR SOTEC;2184;BB;2011-12-14;2012-12-13;2;1900-01-01;;0;235611;
MC014;POS;SAM;22";ZTTGHMABA01037;VD;2012-02-07;2015-02-06;6;1900-01-01;;0;235764;
MC014;POS;;TERMINALSERVER;11120765;TB;2013-03-20;2014-03-19;2;1900-01-01;;0;239367;
MC014;POS;SAM;21,5";ZWVWHMCCC00129;VD;2013-03-14;2016-03-13;6;1900-01-01;;0;237674;
MC014;POS;AA;KB-18-LM;K12E300005;TA;2014-06-05;2014-06-04;7;1900-01-01;;0;241953;
MC014;POS;SAM;21,5";0285H4MD900120;VD;2013-09-26;2016-09-25;6;1900-01-01;;0;240394;
MC014;POS;DEL;APC BACK-UPS;3B1310X15627;TB;2013-08-19;2016-08-18;6;1900-01-01;;0;241603;
MC014;POS;JLT;TM-T88 RESTICK;M6TF000357;RP;2015-11-11;2017-11-10;5;1900-01-01;;0;245309;
MC014;POS;PAN;JS-960-SSDW7;14K00146C;RE;2014-11-06;2017-11-05;6;1900-01-01;;0;242728;
MC014;POS;PAN;JS-960-SSDW7;14K00135C;RE;2014-11-06;2017-11-05;6;1900-01-01;;0;242729;
MC014;POS;PAN;JS-960-SSDW7;14H00066C;RE;2014-11-06;2017-11-05;6;1900-01-01;;0;242730;
MC014;POS;PAN;JS-960-SSDW7;14K00164C;RE;2014-11-06;2017-11-05;6;1900-01-01;;0;242731;
MC014;POS;PAN;JS-960-SSDW7;14H00077C;RE;2014-11-06;2017-11-05;6;1900-01-01;;0;242732;
MC014;POS;PAN;JS-960-SSDW7;14K00166C;RE;2014-11-06;2017-11-05;6;1900-01-01;;0;242733;
MC014;POS;PAN;JS-960-SSDW7;14K00150C;RE;2014-11-06;2017-11-05;6;1900-01-01;;0;242734;
MC014;POS;PAN;JS-960-SSDW7;14K00131C;RE;2014-11-06;2017-11-05;6;1900-01-01;;0;242735;
MC014;DAT;CIS;CISCO 1921 ROUTER;FCZ1825C2PC;NV;2013-03-20;2016-03-19;6;1900-01-01;;0;247913;
MC014;DAT;DELL;DATOR DELL T330;6JRB9X2;DA;2019-10-19;2024-10-18;9;1900-01-01;;0;250216;
MC014;POS;JLT;TM-T88 RESTICK;M6TF000280;RP;2015-01-31;2017-01-30;5;1900-01-01;;0;243735;
MC014;POS;SOT;BUMPBAR CODE  A;001934;BB;2015-03-13;2016-03-12;2;1900-01-01;;0;244319;
MC014;POS;JLT;TM-T88 RESTICK;M6TF000292;RP;2015-03-13;2017-03-12;5;1900-01-01;;0;244320;
MC014;POS;SAM;21,5";0354H4MG100164;VD;2015-03-17;2018-03-16;6;1900-01-01;;0;244323;
MC014;DAT;SAT;PRINTER SATO;5J202919;PR;2016-04-12;2019-04-11;6;1900-01-01;;0;245851;
MC014;POS;JLT;TM-T88 RESTICK;M6TF000809;RP;2016-09-22;2018-09-21;5;1900-01-01;;0;246557;
MC015;POS;PAN;JS-930-WS 2GB;07J00417M;RE;2005-01-20;2008-01-19;6;1900-01-01;Utbytt, tidigare Snr: 04N00153M;0;224994;
MC015;POS;PAN;JS-930-WS 2GB;08B00715M;RE;2008-07-03;2008-01-19;6;1900-01-01;;0;227348;
MC015;POS;VXL;VXL 4121;412170604688;VX;2005-01-20;1900-01-01;1;2014-07-21;;1;226957;
MC015;POS;VXL;VXL;412171902139;VX;2005-01-20;1900-01-01;1;2010-06-02;;1;226958;
MC015;POS;PAN;JS-930-WS 2GB;07J00413M;RE;2005-01-20;2008-01-19;6;1900-01-01;Utbytt, tidigare Snr: 04N00147M;0;224995;
MC015;POS;EPS;TM-T88;DJHG138048;RP;2005-01-20;2006-01-19;1;1900-01-01;;0;224996;
MC015;POS;EPS;TM-T88;DJHG138049;RP;2005-01-20;2006-01-19;1;1900-01-01;;0;224997;
MC015;POS;PAN;JS-930-WS 2GB;07J00418M;RE;2005-01-18;2008-01-19;6;1900-01-01;;0;226648;
MC015;POS;PAN;JS-930-WS 2GB;07J00416M;RE;2005-01-18;1900-01-01;1;1900-01-01;;1;226655;
MC015;POS;EPS;TM-T88;J49G006089;RP;2007-02-21;2008-02-20;1;1900-01-01;;0;226085;
MC015;POS;PAN;JS-930-WS 2GB;07J00415M;RE;2005-01-20;2008-01-19;6;1900-01-01;Utbytt, tidigare Snr: 04N00154M;0;224993;
MC015;POS;PAN;JS-930-WS 2GB;07J00424M;RE;2005-01-20;2008-01-19;6;1900-01-01;Utbytt, tidigare Snr: 04N00061M;0;224989;
MC015;POS;PAN;JS-930-WS 2GB;07J00404M;RE;2005-01-20;2008-01-19;6;1900-01-01;Utbytt, tidigare Snr: 04N00151M;0;224990;
MC015;POS;PAN;JS-930-WS 2GB;07J00409M;RE;2005-01-20;2008-01-19;6;1900-01-01;Utbytt, tidigare Snr: 04N00141M;0;224991;
MC015;POS;PAN;JS-930-WS 2GB;07J00425M;RE;2005-01-20;2008-01-19;6;1900-01-01;;0;224992;
MC015;POS;SAM;17";MJ17HMDXA08593;VD;2005-01-20;2008-01-19;6;1900-01-01;;0;229728;
MC015;POS;SAM;19";MJG19HMBLC03299;VD;2007-02-27;2010-02-26;6;1900-01-01;;0;229731;
MC015;POS;SAM;19";MJG19HMBLC03313;VD;2007-02-27;2010-02-26;6;1900-01-01;;0;229732;
MC015;POS;DEL;KVM-EXT;Z386E219ADZ0102;TB;2008-03-13;2009-03-12;2;2008-11-12;;0;229734;
MC015;DAT;3CO;24 PORTS SWITCH;9N3QAE0120009;TB;2008-12-29;1900-01-01;1;1900-01-01;;1;230466;
MC015;DAT;3CO;24 PORTS SWITCH;9N3QAE0120029;TB;2008-12-29;1900-01-01;1;1900-01-01;;0;230467;
MC015;POS;EPS;TM-T88;J4KF009578;RP;2010-01-08;2013-01-07;6;1900-01-01;;0;231844;
MC015;POS;EPS;TM-T88;J4KF009580;RP;2010-01-08;2013-01-07;6;1900-01-01;;0;231845;
MC015;POS;EPS;TM-T88;J4KF009567;RP;2010-01-08;2013-01-07;6;1900-01-01;;0;231846;
MC015;POS;EPS;TM-T88;J4KF009565;RP;2010-01-08;2013-01-07;6;1900-01-01;;0;231847;
MC015;DAT;SAT;UTLÅN SATO-PRINTER;9B201721;PR;2010-06-10;2013-06-09;6;2015-04-13;;1;232437;
MC015;POS;SOT;BUMPBAR SOTEC;6828;BB;2010-09-04;2011-09-03;2;1900-01-01;;0;232662;
MC015;POS;SAM;19";NE9LHMDB101210;VD;2011-04-09;2014-04-08;6;1900-01-01;;0;233391;
MC015;DAT;DEL;DATOR DELL;563005J;DA;2011-05-09;2014-05-08;6;1900-01-01;;0;233742;
MC015;DAT;CIS;CISCO 48TT;FOC1504Y1PQ;NV;2011-06-07;2014-06-06;6;1900-01-01;;1;234329;
MC015;POS;XE;PINPAD XENTA;ARH8218;PP;2011-06-07;1900-01-01;0;1900-01-01;;0;234330;
MC015;POS;XE;PINPAD XENTA;ARH8072;PP;2011-06-07;1900-01-01;0;1900-01-01;;0;234331;
MC015;POS;XE;PINPAD XENTA;ARH8139;PP;2011-06-07;1900-01-01;0;1900-01-01;;0;234332;
MC015;POS;XE;PINPAD XENTA;ARH8096;PP;2011-06-07;1900-01-01;0;1900-01-01;;0;234333;
MC015;POS;XE;PINPAD XENTA;ARH8086;PP;2011-06-07;1900-01-01;0;1900-01-01;;0;234334;
